x,y,theta
3.587762988027378,0.8389383029779527,0.0
3.5889119748609053,0.8639119819389567,0.0
3.589860690085003,0.8888936717643379,0.0
3.590798342686866,0.9138761245291835,0.0
3.591584933274759,0.9388639178702807,0.0
3.5923600797706845,0.9638517112113778,0.0
3.593018877998275,0.9888433192497974,0.0
3.5936673765430944,1.013834927288217,0.0
3.594224703821907,1.0388284426752978,0.0
3.594771731417949,1.0638227210018432,0.0
3.595245898295132,1.0888181437375852,0.0
3.5957109098987408,1.1138135664733273,0.0
3.596116412224119,1.1388105150879984,0.0
3.5965142851548526,1.1638074637026694,0.0
3.596862948490126,1.1888047937870727,0.0
3.5972047453702194,1.2138025053412083,0.0
3.597505724988962,1.238800598365076,0.0
3.597800982561721,1.263799072858676,0.0
3.5980622893283103,1.2887975473522761,0.0
3.5983178740489157,1.3137964033156084,0.0
3.598545230009335,1.3387952592789407,0.0
3.598768008332967,1.363794115242273,0.0
3.5989667540634676,1.3887933526753375,0.0
3.5991613036269134,1.413792590108402,0.0
3.599335253824818,1.4387922090111989,0.0
3.5995057707951323,1.4637914464442634,0.0
3.5996587401577633,1.488790683877328,0.0
3.5998086577625363,1.513790684249857,0.0
3.5999433165780195,1.5387899216829215,0.0
3.600075305105377,1.5637899220554505,0.0
3.600194323661838,1.5887899224279796,0.0
3.6003110533999054,1.613789159861044,0.0
3.6004163390460056,1.6387891602335731,0.0
3.6005197173434444,1.6637891606061022,0.0
3.600613177427845,1.6887883980391667,0.0
3.600704730163584,1.7137883984116957,0.0
3.600787890565214,1.7387883987842248,0.0
3.600869525087915,1.7637883991567538,0.0
3.6009435302159707,1.7887883995292828,0.0
3.6010160094650976,1.8137883999018118,0.0
3.6010820037287763,1.8387876373348764,0.0
3.601146472113526,1.8637876377074054,0.0
3.6012055999220243,1.8887876380799344,0.0
3.6012632018515935,1.9137876384524635,0.0
3.6013158446746436,1.9387876388249925,0.0
3.601367724558229,1.9637876391975215,0.0
3.6014146453352955,1.9887876395700506,0.0
3.6014608031728974,2.0137876399425796,0.0
3.601503146313177,2.0387876403151086,0.0
3.6015447265139917,2.0637876406876376,0.0
3.601582492017484,2.0887876410601667,0.0
3.601619494581512,2.1137876414326957,0.0
3.601653445387682,2.1387876418052247,0.0
3.60168701472412,2.1637876421777538,0.0
3.6017175323026995,2.188787642550283,0.0
3.601747286941815,2.213787642922812,0.0
3.6017747527625366,2.238787643295341,0.0
3.601801455643794,2.26378764366787,0.0
3.6018258697066576,2.288787644040399,0.0
3.6018502837695214,2.313787644412928,0.0
3.6018724090139917,2.338787644785457,0.0
3.60189415278873,2.363787645157986,0.0
3.6019139892148067,2.388787645530515,0.0
3.6019334441711512,2.413787645903044,0.0
3.601951373248567,2.438787646275573,0.0
3.60196892085625,2.463787646648102,0.0
3.6019849425850046,2.488787647020631,0.0
3.6020005828440267,2.51378764739316,0.0
3.602015078693852,2.538787647765689,0.0
3.6020295745436774,2.5637876481382182,0.0
3.602042544514574,2.5887876485107473,0.0
3.602055133015738,2.6137876488832763,0.0
3.6020665771077054,2.638786886316341,0.0
3.6020776397299406,2.66378688668887,0.0
3.602087557942979,2.688786887061399,0.0
3.6020974761560174,2.713786887433928,0.0
3.602105868490127,2.738786887806457,0.0
3.6021142608242362,2.763786888178986,0.0
3.6021211272794167,2.788786888551515,0.0
3.6021272307951326,2.813786888924044,0.0
3.6021318084319196,2.838786889296573,0.0
3.602135623129242,2.863786889669102,0.0
3.602137149008171,2.888786890041631,0.0
3.602137149008171,2.91378689041416,0.0
3.602134097250313,2.938786890786689,0.0
3.602127993734597,2.9637868911592182,0.0
3.6021176940518265,2.9887868915317473,0.0
3.602101672323072,3.0137868919042763,0.0
3.6020787841391373,3.0387868922768053,0.0
3.6020463592118963,3.0637868926493343,0.0
3.6020017272532234,3.0887868930218634,0.0
3.6019414550355284,3.1137868933943924,0.0
3.6018598205128276,3.1387868937669214,0.0
3.6017511016391373,3.1637868941394505,0.0
3.6016156798841896,3.188786131572515,0.0
3.6014299041245854,3.2137853690055795,0.0
3.6011151915954818,3.2387838434991796,0.0
3.6007314330448414,3.2637807921138506,0.0
3.6000871306670765,3.2887724001522702,0.0
3.59936958610072,3.313762482311761,0.0
3.5982015257805804,3.338735016863568,0.0
3.59700447376079,3.3637060255364464,0.0
3.5953179960745265,3.388649568388603,0.0
3.593708193804445,3.4135976888775463,0.0
3.5917958860366914,3.438524447061484,0.0
3.5901258115489147,3.4634679899136405,0.0
3.588599551150195,3.4884214509788354,0.0
3.587582171374293,3.513400851985823,0.0
3.579898608027377,3.537190830367665,0.0
3.574800265055898,3.5616659283886225,0.0
3.5621286034901223,3.583215916502711,0.0
3.5435826895174776,3.5999807482954953,0.0
