x,y,theta,s,obs1_x,obs1_y,obs1_r,obs2_x,obs2_y,obs2_r
4.876911155614109,-0.7782179674504112,0.6859377773187975,1.3638444208434062,4.051996219435552,3.2745920004465816,1.2240620973611118,0.2172155684814344,-0.0331098809546821,1.2298218706075337
4.942177067261463,-0.720302883825728,0.7653845098228463,1.453810094860836,4.035720756817207,3.267251249767441,1.221500668287328,0.18833011219337928,-0.03995911370279306,1.2620849939967145
5.0031052657253055,-0.6574444904578458,0.8367292657139037,1.5394458037386838,4.046595720701655,3.29952365994217,1.2521067766014733,0.22653101197919237,-0.02651927967223466,1.218502863016398
5.06587893717299,-0.5827026223596213,0.9061274002512879,1.632816832706061,4.0787958116648975,3.317107418173543,1.2454967252902818,0.22805351375951838,-0.002635552819208415,1.2207772833257355
5.118430117802371,-0.5118594613808229,0.9592544163734177,1.72882066908271,4.073043843292425,3.2583693802571525,1.19750940799101,0.22306612374137824,0.008564479261030168,1.2259238620844766
5.17278349093199,-0.42996499455982073,1.0099683016804806,1.8234251978800298,4.039768214636488,3.3122738793475532,1.268654568636023,0.22268736041234516,0.009201710005280717,1.2263073009533783
5.223366071259982,-0.34540902414243035,1.0527221281700918,1.9187244585069974,4.050988097450546,3.3082123918984645,1.2619929547643491,0.21883286849042508,0.0011613174789730928,1.2322821799283672
5.266230494857229,-0.2673865237224191,1.0840502915199168,2.0139348118056515,4.096580586756285,3.3242193517514202,1.2481359203093956,0.21490447550513558,-0.018523733989633993,1.2370757889474846
5.311271831592004,-0.17913229974743633,1.113413359999935,2.115040871746836,4.055278325896285,3.323327508665904,1.2693012451007153,0.2151284523131976,-0.014520822633080027,1.2407103488929563
5.362459427741014,-0.07143466825407209,1.1407191022551457,2.2315635687557323,4.051141737966033,3.311986535903002,1.2710749060924054,0.2093078795308687,0.016616345987354657,1.2440795570717698
5.403097984221579,0.019389154653301738,1.1598663950739672,2.3346393859837717,4.097938436490228,3.339333310716255,1.2574607790553642,0.2039896868638368,0.0028042121285559445,1.2476579265770564
5.449787602324795,0.12947765524615376,1.180439295432986,2.4496596100619046,4.065312170314195,3.321773207422974,1.2774366518588485,0.20375023284126556,0.0019977886612332378,1.2478008166680419
5.486968000395892,0.22190036359018492,1.1971294023305432,2.5515279670131545,4.094542642100449,3.3446531601343064,1.2685654810192566,0.2037716833235291,0.0019319153706709035,1.2477743735187636
5.526079704554275,0.3243913734071867,1.2153021616249737,2.6568409540764555,4.074718190368333,3.337599606734969,1.2910527420490285,0.20379879368099915,0.0018824060940281658,1.2477442865159545
5.556668295394549,0.40870871423920985,1.231158025817437,2.749334341066534,4.0883685119599855,3.338074736809865,1.28640404525068,0.2038190509625853,0.00184627356765737,1.24772189014578
5.588956792340685,0.5028597505736392,1.2510525271177615,2.8507030353164318,4.1141845339303265,3.3531499799016804,1.2707803609819082,0.20383952776356173,0.0018097843128223885,1.2476992545157874
5.619177660825714,0.5975203208601801,1.2735251570875978,2.95101501278038,4.085050761139818,3.349823728545228,1.2958215964933704,0.20385805551903885,0.0017767701069439225,1.2476787736018786
5.652406174089374,0.7118669331206936,1.304459259977615,3.0644300226909613,4.10035202118368,3.333759673747475,1.2728571528337629,0.20387797553544054,0.0017412751585555932,1.2476567536673075
5.6772158002857855,0.8078587404991281,1.3325102248263432,3.168584841434983,4.102245341606988,3.3221450399107355,1.2590581055359067,0.20389284289896276,0.001714783401182722,1.2476403190239054
5.703105100247402,0.9233552127161488,1.3686379747047286,3.2878785292110586,4.1043898226356035,3.3577275941138405,1.2931764732744229,0.20390882742630112,0.0016863009995842471,1.2476226494481109
5.72087583758924,1.0175492885462019,1.4012115774563876,3.389715525326348,4.097050365620255,3.350851418856845,1.294411384422248,0.2039207575125896,0.0016650430980189618,1.2476094617222906
5.735656159719272,1.1148325746265118,1.4369902919005155,3.498197888779526,4.119815893842656,3.344060069814573,1.273313358957082,0.20393257299257006,0.0016439894103677623,1.2475964006842857
5.747542513683728,1.2204286446711448,1.479188908076892,3.6231077010479167,4.110722712381952,3.3495318084014842,1.2881716305374498,0.2039449594843105,0.0016219182521389802,1.2475827084399047
5.753708950011267,1.3031819473301438,1.5128902213960636,3.7343086005042285,4.1267695560945095,3.348110845598005,1.272255989764836,0.20395425278449406,0.0016053587691863616,1.2475724354635138
5.756840350590964,1.3799020746018709,1.5468112901662514,3.845596411937974,4.1155574707461025,3.354616360712629,1.2897642783556091,0.20396257759158537,0.001590525018162498,1.247563233076308
5.757395003404942,1.4440714923209375,1.5779928358596718,3.9478781782366696,4.1332991077626575,3.3700469464606257,1.2821825215663927,0.20397003483510348,0.0015772371554578586,1.2475549897090334
5.755627782356916,1.5139112084043118,1.6153719328202591,4.066320377828766,4.128673370565579,3.388843361067948,1.2995361089491504,0.2039772865394425,0.001564315537517236,1.2475469735483589
5.751187417098758,1.5826310172682696,1.6568952517983635,4.192584821061313,4.128524008742138,3.3762477174083894,1.2927020944601513,0.20398421974192896,0.001551961449506131,1.2475393094651963
5.745551372208464,1.6372701408867283,1.6930167918658416,4.295235756807212,4.129390196594228,3.392078267102502,1.301740934670154,0.0,0.0,0.0
5.738318822723706,1.6888247502796758,1.7292845466887272,4.4033531991056245,4.118835061751141,3.3709705729858475,1.2990413137445074,0.0,0.0,0.0
5.729733338863653,1.7372475084012997,1.7665509172477387,4.520673642705345,4.114604976433618,3.3922757848312965,1.3108617436631915,0.0,0.0,0.0
5.717052275660848,1.7941775962773763,1.8140319512024734,4.650830559853212,4.140514005025225,3.3855034626488933,1.2854327014990568,0.0,0.0,0.0
5.705642755106131,1.836687949098266,1.8503034889459753,4.759324564697635,4.127139726492,3.3861965049238667,1.2952135388906,0.0,0.0,0.0
5.690689228407939,1.8845510325319081,1.893734836779654,4.892313614328664,4.159779793107827,3.3912516375945407,1.271234210544261,0.0,0.0,0.0
5.6767040853414,1.9237268179569535,1.9302438209359363,4.996689477241586,4.1329060677906515,3.3577426684643714,1.2767035888278868,0.0,0.0,0.0
5.661827600679478,1.9612760323716534,1.9626591414079413,5.108135454991615,4.128223991012024,3.4030740006730906,1.3042645230851504,0.0,0.0,0.0
5.6459925775098325,1.997394526357758,1.9930395954555304,5.214679060802502,4.148523139614982,3.3748403914927123,1.2768150497228399,0.0,0.0,0.0
5.632396225889751,2.026662789807997,2.0157959000138823,5.306371270806432,4.165034340270494,3.3974990787541715,1.2663964752205938,0.0,0.0,0.0
5.615191868088236,2.061534880134981,2.0420728571032813,5.414756140088622,4.153271873822036,3.3714486552692957,1.2738161653253015,0.0,0.0,0.0
5.597258550116683,2.0955830248922527,2.065499068638381,5.51864370109544,4.1377142521429695,3.40269464570395,1.2938995519819814,0.0,0.0,0.0
5.578742230678968,2.128587764345518,2.0891780637595816,5.623178709466558,4.146562536764442,3.3921573608518725,1.2824262412050274,0.0,0.0,0.0
5.561253934075036,2.1580845373340876,2.1089449405659444,5.7250371965514,4.14731752882995,3.3903194081091668,1.2888922316409546,0.0,0.0,0.0
5.54315543069362,2.1880435910195284,2.1202951342066356,5.818821193010966,4.153005107921132,3.4004457132617554,1.2860450168531945,0.0,0.0,0.0
5.515719921824501,2.232162623078069,2.1372852980446493,5.969912463431642,4.179186301353492,3.4027631207691016,1.252954360622499,0.0,0.0,0.0
